date,open,high,low,close,Volume
7/9/2013,1867.445427,1901.647725,1867.445427,1894.807265,1498557
7/10/2013,1894.807265,1908.488184,1887.966806,1887.966806,3217440
7/11/2013,1894.807265,1894.807265,1874.285887,1874.285887,4655805
7/12/2013,1874.285887,1970.052319,1874.285887,1970.052319,27648902
7/15/2013,2038.456913,2045.297373,2004.254616,2024.775995,11235329
7/16/2013,2024.775995,2045.297373,2011.095076,2011.095076,7343342
7/17/2013,2011.095076,2017.935535,1997.414157,2011.095076,4094730
7/18/2013,2011.095076,2079.49967,2004.254616,2065.818751,12738602
7/19/2013,2065.818751,2093.180589,2065.818751,2093.180589,8716485
7/22/2013,2120.542427,2127.382886,2072.659211,2100.021048,9658985
7/23/2013,2106.861508,2161.585183,2106.861508,2147.904265,11837786
7/24/2013,2147.904265,2154.744724,2086.34013,2106.861508,13953419
7/25/2013,2106.861508,2120.542427,2072.659211,2072.659211,7934242
7/26/2013,2065.818751,2079.49967,2052.137832,2065.818751,7748581
7/29/2013,2058.978292,2065.818751,2024.775995,2024.775995,5132232
7/30/2013,2011.095076,2086.34013,2011.095076,2086.34013,3225050
7/31/2013,2086.34013,2086.34013,2052.137832,2072.659211,3603686
8/1/2013,2045.297373,2079.49967,2045.297373,2072.659211,3938162
8/2/2013,2086.34013,2093.180589,2072.659211,2086.34013,3522840
8/5/2013,2072.659211,2100.021048,2072.659211,2093.180589,1808766
8/6/2013,2113.701967,2113.701967,2079.49967,2093.180589,4692357
8/7/2013,2113.701967,2188.947021,2100.021048,2154.744724,9489689
8/8/2013,2175.266102,2188.947021,2141.063805,2147.904265,5596239
8/9/2013,2161.585183,2161.585183,2127.382886,2141.063805,5457803
8/12/2013,2141.063805,2154.744724,2134.223346,2141.063805,2627295
8/13/2013,2141.063805,2168.425643,2127.382886,2147.904265,2735022
8/14/2013,2134.223346,2161.585183,2134.223346,2161.585183,2810902
8/15/2013,2161.585183,2216.308859,2161.585183,2195.787481,10291820
8/16/2013,2182.106562,2243.670697,2182.106562,2223.149318,10302795
8/19/2013,2223.149318,2264.192075,2223.149318,2223.149318,10611395
8/20/2013,2223.149318,2257.351616,2209.468399,2229.989778,9031966
8/21/2013,2229.989778,2257.351616,2216.308859,2257.351616,8105576
8/22/2013,2257.351616,2257.351616,2195.787481,2202.62794,10602045
8/23/2013,2202.62794,2216.308859,2154.744724,2182.106562,13440446
8/26/2013,2182.106562,2188.947021,2154.744724,2188.947021,5261908
